car,avg_price
Lancia,2166.6666666666665
Chevrolet,10163.843125
Lexus,27743.190804597703
Ð›UAZ,2257.7916666666665
Maserati,110000.0
GMC,17666.0
Chrysler,9557.875
Acura,18554.384615384617
Fisker,0.0
Samand,4749.5
Mazda,10111.642171717172
Aston Martin,105000.0
Saab,7000.0
Huanghai,8500.0
Chery,4404.671698113208
Moskvich-AZLK,1629.1666666666667
SMA,2900.0
Samsung,6299.0
Barkas,5500.0
Wartburg,1000.0
Jaguar,24791.644736842107
Groz,4400.0
Peugeot,8704.923076923076
Mercedes-Benz,28314.937024972856
ZX,7700.0
Lincoln,16500.0
Aro,3600.0
Volkswagen,12732.631693589747
Daewoo,3757.6555319148933
Lifan,3800.0
Tesla,99509.09090909091
Volvo,18586.5625
GAZ,3225.377941176471
Dadi,5550.0
Honda,13523.89978276699
Subaru,13873.631578947368
Bogdan,4950.0
Opel,6253.97
UAZ,4551.428571428572
Citroen,8215.226201388889
Changan,6028.0
Porsche,45606.782608695656
SsangYong,14252.015222222224
MG,9149.5
Jeep,25647.52
Isuzu,9980.0
Other-Retro,12700.0
Smart,6770.497234210527
Renault,7812.404896695095
Kia,12216.000693023258
BMW,22677.912463976947
JAC,8350.0
Audi,17882.75273522976
Mitsubishi,11157.539143730888
Geely,6253.815089285715
Infiniti,27741.494375000002
Daihatsu,6600.0
Moskvich-Izh,1176.10259
TATA,12900.0
Hafei,6100.0
Cadillac,70833.33333333333
MINI,17667.666666666668
FAW,4900.0
Hummer,28440.0
Land Rover,50557.45033112583
Skoda,10703.783621059783
Buick,3500.0
Rolls-Royce,65000.0
Nissan,14109.54317527174
Lamborghini,130000.0
Fiat,6473.388655462185
Toyota,21839.571541219964
Bentley,197504.625
Dodge,17768.75
VAZ,2830.745296523518
Hyundai,12457.30589918256
Great Wall,8555.555555555555
Ford,10448.150968571428
Rover,12512.5
Dacia,4891.791666666667
Suzuki,10855.063793103449
Ferrari,167500.0
Alfa Romeo,9040.818181818182
ZAZ,3153.5678333333326
Mercury,10000.0
BYD,8114.142857142857
Seat,8414.076923076924
